MajorAxisLength,MinorAxisLength,ConvexArea,Perimeter,Area_imputed,Eccentricity_imputed,Extent_imputed,target
442.2460114,253.291155,90546,1184.04,87524.0,0.819738392,0.758650579,0
406.690687,243.0324363,78789,1121.786,75166.0,0.801805234,0.68412957,0
442.2670483,266.3283177,93717,1208.575,90856.0,0.798353619,0.637612812,0
286.5405586,208.7600423,47336,844.162,45928.0,0.684989217,0.699599385,0
352.1907699,290.8275329,81463,1073.251,79408.0,0.56401133,0.792771926,0
318.125407,200.12212,51368,881.836,49242.0,0.777351277,0.658456354,0
310.1460715,176.1314494,43904,823.796,42492.0,0.823098681,0.665893562,0
332.4554716,235.429835,62329,933.366,60952.0,0.706057518,0.74359819,0
323.1896072,172.5759261,44743,849.728,42256.0,0.845498789,0.698030924,0
366.9648423,227.7716147,66125,981.544,64380.0,0.784055626,0.664375716,0
449.4545811,232.3255064,84460,1176.305,80437.0,0.856042518,0.674235757,0
301.3222176,186.9506295,45021,818.873,43725.0,0.784258452,0.697068248,0
276.6108288,201.8131355,45133,803.748,43441.0,0.683882337,0.690855598,0
338.8575454,291.3592017,78842,1042.77,76792.0,0.510583813,0.772322237,0
387.7989307,247.8581228,76807,1084.729,74167.0,0.769089738,0.680181585,0
261.5543311,167.7084908,35794,751.413,33565.0,0.767374275,0.68155052,0
403.0839752,206.4846437,66419,1028.445,64670.0,0.858829168,0.75677257,0
354.2939396,235.7524629,66713,981.509,64762.0,0.746473726,0.694998015,0
304.2844667,182.8110368,44714,814.68,43295.0,0.799406959,0.713838189,0
418.6985723,216.5960537,72363,1061.321,70699.0,0.855799392,0.728075054,0
354.1769124,252.529208,71849,1035.501,69726.0,0.701160962,0.734398534,0
330.4784385,222.4437485,59365,928.272,57346.0,0.739555027,0.723608833,0
397.1149759,268.3337727,84427,1106.355,82028.0,0.737169367,0.686375085,0
301.5077895,273.6599414,64732,971.769,61251.0,0.419753707,0.643595671,0
447.1345225,275.2161542,97865,1181.921,96277.0,0.788128405,0.704057157,0
368.2242844,263.4592554,77493,1059.186,75620.0,0.698627251,0.726277372,0
340.055218,276.0151772,74545,1010.474,73167.0,0.58410581,0.778736856,0
336.9238696,231.4656959,62492,964.603,60847.0,0.726660229,0.69858783,0
347.7500583,297.6406265,82552,1063.868,81021.0,0.517134931,0.757559607,0
358.5919148,222.9020273,63250,982.788,59902.0,0.783331958,0.744124224,0
429.770355,265.6902361,90715,1162.877,88745.0,0.786009488,0.752063524,0
307.5327392,175.085568,43838,828.697,41809.0,0.822113695,0.697444367,0
364.2307798,265.8668635,77541,1075.792,75329.0,0.683510499,0.723079729,0
350.1827545,225.8427713,63397,972.472,61600.0,0.764243075,0.746829611,0
253.8420284,235.9068241,48275,844.312,46427.0,0.369212459,0.684219059,0
249.7402266,213.5732718,43096,784.912,40861.0,0.51832833,0.743089401,0
305.298843,234.6612245,57724,926.095,55827.0,0.639696077,0.703287982,0
366.0666742,192.013274,56450,968.729,54182.0,0.851391425,0.611417674,0
405.9365937,245.9897977,79220,1100.676,77468.0,0.795479241,0.721545397,0
287.2643272,222.1858727,50880,843.764,49882.0,0.633851884,0.766377827,0
397.094114,307.2739224,97988,1201.39,95245.0,0.633422315,0.75304396,0
364.1030896,253.7969272,73265,1036.94,71464.0,0.717025543,0.715484271,0
375.2501319,262.8124219,79255,1095.283,77055.0,0.713783938,0.732267077,0
368.4062138,320.7145792,93772,1135.662,92384.0,0.492086934,0.749006827,0
436.5298989,228.2803725,80138,1141.189,77310.0,0.852367489,0.631720869,0
330.2283748,232.0553872,60232,992.114,57580.0,0.711474579,0.645103465,0
375.4472798,239.1327753,71321,1022.568,69708.0,0.770923534,0.727177893,0
260.5126753,205.8650238,43114,790.427,41502.0,0.612809911,0.824319225,0
330.0086832,181.6658648,47802,870.387,45800.0,0.834842987,0.732682771,0
311.9967579,218.0411235,54175,902.624,52623.0,0.7152614,0.675190536,0
317.6167119,183.3152147,46400,845.786,44939.0,0.816632082,0.656177905,0
508.1289326,288.9539812,118314,1340.897,114648.0,0.822570794,0.681904966,0
403.1942717,210.0732642,67372,1030.155,65727.0,0.853542978,0.616981132,0
333.2625321,177.7720961,48787,901.102,45683.0,0.845844473,0.634230657,0
478.3109708,298.630592,113256,1298.188,111450.0,0.781149506,0.690092879,0
306.8118747,203.097502,49203,861.58,47581.0,0.749538262,0.667775392,0
311.6445775,238.6419206,59943,952.023,57127.0,0.643138024,0.693625546,0
333.3813698,206.8807081,55456,936.371,53006.0,0.784164747,0.691695375,0
328.4888612,275.8888648,72223,1039.551,69060.0,0.542783247,0.727023897,0
225.629541,144.618672,26139,619.074,25387.0,0.767577386,0.678144032,0
348.5579747,246.4762569,69097,1003.374,66774.0,0.707082253,0.692446491,0
312.6013291,198.7512989,50166,868.06,47839.0,0.771855496,0.702770596,0
443.8222908,228.7576146,81718,1157.33,78571.0,0.856934002,0.642192762,0
342.5767105,245.7320369,66649,997.989,64717.0,0.696759162,0.66254095,0
373.3428463,208.1086262,62213,990.547,60462.0,0.830230914,0.665683112,0
345.9492049,221.9219567,61464,981.517,59370.0,0.767133811,0.697485902,0
332.2676409,208.6190158,55539,912.153,54056.0,0.778322762,0.674553259,0
443.5159353,258.9467393,91201,1179.694,89235.0,0.811861615,0.655190643,0
321.1271422,208.7667575,52913,903.308,51727.0,0.759843328,0.751889645,0
387.3096951,236.7511846,74045,1069.77,71595.0,0.791421357,0.718536732,0
451.5261542,280.2261534,99256,1255.245,95347.0,0.784111496,0.674956111,0
383.8002498,208.1687832,64346,1054.198,60449.0,0.840127895,0.67634488,0
379.3178462,241.8502909,72895,1086.857,69006.0,0.77037364,0.697453002,0
373.235638,237.0415232,70759,1049.093,68520.0,0.772430874,0.712858926,0
309.9772864,219.7253525,54438,894.48,52731.0,0.70536589,0.695879962,0
311.3447951,208.3178983,51743,873.777,50570.0,0.74318078,0.720863268,0
391.2043013,248.5002712,77437,1081.339,75825.0,0.772332349,0.745370006,0
293.4295802,189.4321576,44052,814.182,42637.0,0.763692969,0.725119048,0
425.0481856,233.9734424,78641,1091.754,76984.0,0.834859339,0.758754595,0
323.1525189,191.6109615,49187,860.402,47851.0,0.805244577,0.773237024,0
328.6476055,202.5088754,52903,896.728,51220.0,0.787598712,0.692470967,0
331.0863197,216.5794558,57109,957.132,53890.0,0.756366569,0.704444444,0
